Atendentes,Repeticoes,MediaClientesGerados,MediaThroughput,MediaTempoEsperaFila,IC95InferiorEsperaFila,IC95SuperiorEsperaFila,MaxTempoEsperaFilaObservado,MediaTempoAtendimento,MaxTempoAtendimentoObservado,MediaLeadTime,MediaPercentualClientesDentroMeta,CumpreMeta
1,300,261.31,95.26,6166.16,6121.17,6211.14,14659.00,74.85,120.00,6241.01,1.25,NAO
2,300,260.67,190.17,1279.33,1256.93,1301.73,3657.00,74.97,120.00,1354.30,5.36,NAO
3,300,261.55,257.43,32.13,30.04,34.23,325.00,74.94,120.00,107.08,95.20,SIM
4,300,261.84,258.88,2.47,2.34,2.59,99.00,75.01,120.00,77.48,100.00,SIM
5,300,260.66,257.85,0.30,0.27,0.32,72.00,74.83,120.00,75.13,100.00,SIM
6,300,262.16,259.45,0.04,0.03,0.05,44.00,74.78,120.00,74.82,100.00,SIM
7,300,261.31,258.57,0.00,0.00,0.00,19.00,75.05,120.00,75.06,100.00,SIM
8,300,260.47,257.67,0.00,-0.00,0.00,9.00,75.11,120.00,75.11,100.00,SIM
9,300,262.36,259.54,0.00,0.00,0.00,0.00,75.18,120.00,75.18,100.00,SIM
10,300,261.62,259.02,0.00,0.00,0.00,0.00,75.05,120.00,75.05,100.00,SIM
11,300,261.08,258.36,0.00,0.00,0.00,0.00,75.11,120.00,75.11,100.00,SIM
12,300,262.10,259.34,0.00,0.00,0.00,0.00,75.09,120.00,75.09,100.00,SIM
13,300,261.84,259.15,0.00,0.00,0.00,0.00,74.94,120.00,74.94,100.00,SIM
14,300,260.75,257.96,0.00,0.00,0.00,0.00,75.12,120.00,75.12,100.00,SIM
15,300,261.45,258.75,0.00,0.00,0.00,0.00,75.02,120.00,75.02,100.00,SIM
16,300,262.57,259.77,0.00,0.00,0.00,0.00,75.08,120.00,75.08,100.00,SIM
17,300,261.24,258.56,0.00,0.00,0.00,0.00,75.04,120.00,75.04,100.00,SIM
18,300,262.20,259.45,0.00,0.00,0.00,0.00,74.98,120.00,74.98,100.00,SIM
19,300,262.08,259.44,0.00,0.00,0.00,0.00,74.96,120.00,74.96,100.00,SIM
20,300,260.79,258.15,0.00,0.00,0.00,0.00,74.82,120.00,74.82,100.00,SIM
